배포일,배포ID,대상구분,대상식별번호,주제,원문URL,채널,게시URL또는전달기록,24시간도달,24시간저장,24시간링크클릭,7일원문조회,7일허브조회,문의코드,문의수,결과,메모
2026-09-09,SEED-20260909-01,고객정보,OWNED-BLOG-RELATED-01,염색 전 머리 감기,https://blog.naver.com/q_love_soul/224404403478,네이버 블로그 내부링크,https://blog.naver.com/q_love_soul/224376738766,,,,,,,,completed,"2026-09-09 15:13 KST 공개 링크 미리보기와 정확한 대상 URL 확인"
2026-09-10,SEED-20260909-02,고객정보,OWNED-INSTAGRAM-01,염색 전 머리 감기,https://blog.naver.com/q_love_soul/224404403478,Instagram,,,,,,,,,ready-awaiting-account-and-publish-approval,"9/9 권장 시각 경과로 9/10 19:30에 이동; 카드뉴스 5장 순서대로 게시; 고객 글이므로 창업 연락처 미표시"
2026-09-10,SEED-20260909-03,고객정보,OWNED-THREADS-01,염색 전 머리 감기,https://blog.naver.com/q_love_soul/224404403478,Threads,,,,,,,,,ready-awaiting-account-and-publish-approval,"9/9 권장 시각 경과로 9/10 20:10에 이동; 선택 질문+원문 링크 1회 게시"
2026-09-10,SEED-20260909-04,고객정보,OWNED-FACEBOOK-01,염색 전 머리 감기,https://blog.naver.com/q_love_soul/224404403478,Facebook,,,,,,,,,blocked-page-reactivation-required,"페이지가 현재 이용 불가 상태라 재활성화 전까지 게시 보류"
2026-09-10,SEED-20260910-01,고객정보,OWNED-SHORTVIDEO-01,염색 전 머리 감기,https://blog.naver.com/q_love_soul/224404403478,네이버클립-Instagram릴스,,,,,,,,,ready-awaiting-account-and-publish-approval,"12:10 15초 세로 영상; 허가된 채널 음원만 사용"
2026-09-10,SEED-20260910-02,고객경로,START-HERE-HUB,지역 수요 확인,https://blog.naver.com/q_love_soul/224360799511,네이버 블로그 댓글 CTA,,,,,,,,,ready-awaiting-public-edit-approval,"시·구 정도만 댓글로 받는 후보 문구; 전화번호·상세주소·건강정보 작성 금지; 확인된 지점 생기기 전 예약 약속 금지"
2026-09-10,SEED-20260910-03,소유채널,OWNED-BLOG-UNVERIFIED-01,관련 질문 교차 링크,https://blog.naver.com/q_love_soul/224404403478,qlovechangup,,,,,,,,,blocked-ownership-confirmation-required,"2026-09-09 상세 유입 경로에서 실제 유입 확인; 소유·운영 권한 확인 전 수정 금지"
2026-09-11,SEED-20260911-01,고객정보,OWNED-INSTAGRAM-01,뿌리염색 몇 cm,https://blog.naver.com/q_love_soul/224404407796,Instagram,,,,,,,,,ready-awaiting-account-and-publish-approval,"19:30 표지와 방문 전 기록 카드 게시; 고객 글이므로 창업 연락처 미표시"
2026-09-11,SEED-20260911-02,고객정보,OWNED-THREADS-01,뿌리염색 몇 cm,https://blog.naver.com/q_love_soul/224404407796,Threads,,,,,,,,,ready-awaiting-account-and-publish-approval,"20:10 질문형 짧은 글과 원문 링크 1회 게시"
2026-09-11,SEED-20260911-03,고객정보,OWNED-FACEBOOK-01,뿌리염색 몇 cm,https://blog.naver.com/q_love_soul/224404407796,Facebook,,,,,,,,,ready-awaiting-account-and-publish-approval,"20:30 표지와 요약 카드·원문 링크 1회 게시"
2026-09-12,SEED-20260912-01,고객정보,OWNED-SHORTVIDEO-01,뿌리염색 몇 cm,https://blog.naver.com/q_love_soul/224404407796,네이버클립-Instagram릴스,,,,,,,,,ready-awaiting-account-and-publish-approval,"12:10 15초 세로 영상; 허가된 채널 음원만 사용"
2026-09-16,SEED-20260916-01,고객정보,OWNED-INSTAGRAM-01,새치염색 처음,https://blog.naver.com/q_love_soul/224404409647,Instagram,,,,,,,,,ready-awaiting-account-and-publish-approval,"19:30 표지와 방문 전 체크 카드 게시; 고객 글이므로 창업 연락처 미표시"
2026-09-16,SEED-20260916-02,고객정보,OWNED-THREADS-01,새치염색 처음,https://blog.naver.com/q_love_soul/224404409647,Threads,,,,,,,,,ready-awaiting-account-and-publish-approval,"20:10 질문형 짧은 글과 원문 링크 1회 게시"
2026-09-16,SEED-20260916-03,고객정보,OWNED-FACEBOOK-01,새치염색 처음,https://blog.naver.com/q_love_soul/224404409647,Facebook,,,,,,,,,ready-awaiting-account-and-publish-approval,"20:30 표지와 요약·원문 링크 1회 게시"
2026-09-17,SEED-20260917-01,고객정보,OWNED-SHORTVIDEO-01,새치염색 처음,https://blog.naver.com/q_love_soul/224404409647,네이버클립-Instagram릴스,,,,,,,,,ready-awaiting-account-and-publish-approval,"12:10 15초 세로 영상; 허가된 채널 음원만 사용"
2026-09-22,SEED-20260922-01,고객정보,OWNED-INSTAGRAM-01,밝은 새치염색,https://blog.naver.com/q_love_soul/224404411127,Instagram,,,,,,,,,ready-awaiting-account-and-publish-approval,"19:30 표지와 우선순위 카드 게시; 고객 글이므로 창업 연락처 미표시"
2026-09-22,SEED-20260922-02,고객정보,OWNED-THREADS-01,밝은 새치염색,https://blog.naver.com/q_love_soul/224404411127,Threads,,,,,,,,,ready-awaiting-account-and-publish-approval,"20:10 질문형 짧은 글과 원문 링크 1회 게시"
2026-09-22,SEED-20260922-03,고객정보,OWNED-FACEBOOK-01,밝은 새치염색,https://blog.naver.com/q_love_soul/224404411127,Facebook,,,,,,,,,ready-awaiting-account-and-publish-approval,"20:30 표지와 요약·원문 링크 1회 게시"
2026-09-23,SEED-20260923-01,고객정보,OWNED-SHORTVIDEO-01,밝은 새치염색,https://blog.naver.com/q_love_soul/224404411127,네이버클립-Instagram릴스,,,,,,,,,ready-awaiting-account-and-publish-approval,"12:10 15초 세로 영상; 허가된 채널 음원만 사용"
2026-09-29,SEED-20260929-01,고객정보,OWNED-INSTAGRAM-01,염색 후 머리 감기,https://blog.naver.com/q_love_soul/224404411905,Instagram,,,,,,,,,ready-awaiting-account-and-publish-approval,"19:30 표지와 퇴실 전 확인 카드 게시; 고객 글이므로 창업 연락처 미표시"
2026-09-29,SEED-20260929-02,고객정보,OWNED-THREADS-01,염색 후 머리 감기,https://blog.naver.com/q_love_soul/224404411905,Threads,,,,,,,,,ready-awaiting-account-and-publish-approval,"20:10 질문형 짧은 글과 원문 링크 1회 게시"
2026-09-29,SEED-20260929-03,고객정보,OWNED-FACEBOOK-01,염색 후 머리 감기,https://blog.naver.com/q_love_soul/224404411905,Facebook,,,,,,,,,ready-awaiting-account-and-publish-approval,"20:30 표지와 1분 체크·원문 링크 1회 게시"
2026-09-30,SEED-20260930-01,고객정보,OWNED-SHORTVIDEO-01,염색 후 머리 감기,https://blog.naver.com/q_love_soul/224404411905,네이버클립-Instagram릴스,,,,,,,,,ready-awaiting-account-and-publish-approval,"12:10 15초 세로 영상; 허가된 채널 음원만 사용"
2026-09-14,SEED-20260914-RESEARCH-01,상품연구,OWNED-INSTAGRAM-01,Q-LOVE 제왕충초 근거 수준 안내,https://olove-research.kangbs2486.chatgpt.site/evidence,Instagram,,,,,,,BLOG-PROD-01,,ready-awaiting-account-and-publish-approval,"19:20 프로필 링크를 /evidence로 한시 전환; 19:30 고품질 4:5 카드 3장 게시; 효능 단정 금지; 24시간 뒤 공통 프로필 링크로 복원; 최초 발견 경로는 Instagram으로 별도 기록"
2026-09-14,SEED-20260914-RESEARCH-02,상품연구,OWNED-THREADS-01,Q-LOVE 제왕충초 근거 수준 안내,https://olove-research.kangbs2486.chatgpt.site/evidence,Threads,,,,,,,BLOG-PROD-01,,ready-awaiting-account-and-publish-approval,"20:10 B·C·D·F 질문형 게시와 /evidence 직접 링크 1회; 최초 발견 경로는 Threads로 별도 기록"
2026-09-15,SEED-20260915-RESEARCH-03,소유채널,OWNED-BLOG-UNVERIFIED-01,Q-LOVE 제왕충초 연구 아카이브,https://olove-research.kangbs2486.chatgpt.site/,qlovechangup,,,,,,,BLOG-PROD-01,,blocked-ownership-confirmation-required,"소유·운영 권한 확인 뒤 관련 상품 글 한 편에 링크 미리보기 카드 1개만 추가; 최초 발견 경로는 출발 글로 별도 기록"
2026-09-19,SEED-20260919-STARTUP-01,창업교육,OWNED-INSTAGRAM-01,염색방 창업 상담 질문 7가지,https://blog.naver.com/q_love_soul/224360781082,Instagram,,,,,,,BLOG-START-01,,ready-awaiting-account-and-publish-approval,"19:30 4:5 창업 질문표 카드 1장; 연락처·코드·QR 포함; 최초 발견 경로는 Instagram으로 별도 기록"
